TXNID:236842 | STATUS:REJECTED | LATENCY:92ms
TXNID:472938 | STATUS:SUCCESS | LATENCY:2ms
TXNID:417497 | STATUS:SUCCESS | LATENCY:54ms
TXNID:912986 | STATUS:PENDING | LATENCY:14ms
TXNID:374200 | STATUS:REJECTED | LATENCY:179ms
TXNID:378330 | STATUS:SUCCESS | LATENCY:175ms
TXNID:228880 | STATUS:FAILURE | LATENCY:7ms
TXNID:859300 | STATUS:FAILURE | LATENCY:23ms
TXNID:906490 | STATUS:REJECTED | LATENCY:83ms
TXNID:839295 | STATUS:FAILURE | LATENCY:162ms
TXNID:396474 | STATUS:FAILURE | LATENCY:191ms
TXNID:616477 | STATUS:REJECTED | LATENCY:133ms
TXNID:594298 | STATUS:PENDING | LATENCY:162ms
TXNID:600085 | STATUS:REJECTED | LATENCY:0ms
TXNID:247355 | STATUS:PENDING | LATENCY:61ms
TXNID:985962 | STATUS:SUCCESS | LATENCY:189ms
TXNID:101934 | STATUS:PENDING | LATENCY:99ms
TXNID:154550 | STATUS:REJECTED | LATENCY:110ms
TXNID:908427 | STATUS:PENDING | LATENCY:145ms
TXNID:708239 | STATUS:REJECTED | LATENCY:187ms
TXNID:388748 | STATUS:SUCCESS | LATENCY:137ms
TXNID:697164 | STATUS:FAILURE | LATENCY:23ms
TXNID:58244 | STATUS:PENDING | LATENCY:172ms
TXNID:736358 | STATUS:FAILURE | LATENCY:86ms
TXNID:603498 | STATUS:SUCCESS | LATENCY:151ms
TXNID:207961 | STATUS:SUCCESS | LATENCY:132ms
TXNID:980603 | STATUS:FAILURE | LATENCY:107ms
TXNID:291292 | STATUS:PENDING | LATENCY:177ms
TXNID:378492 | STATUS:REJECTED | LATENCY:176ms
TXNID:178102 | STATUS:SUCCESS | LATENCY:132ms
TXNID:932780 | STATUS:SUCCESS | LATENCY:47ms
TXNID:168315 | STATUS:FAILURE | LATENCY:70ms
TXNID:603945 | STATUS:SUCCESS | LATENCY:150ms
TXNID:704487 | STATUS:FAILURE | LATENCY:77ms
TXNID:78640 | STATUS:FAILURE | LATENCY:196ms
TXNID:642691 | STATUS:SUCCESS | LATENCY:44ms
TXNID:944087 | STATUS:REJECTED | LATENCY:125ms
TXNID:218163 | STATUS:FAILURE | LATENCY:137ms
TXNID:128741 | STATUS:FAILURE | LATENCY:107ms
TXNID:449459 | STATUS:SUCCESS | LATENCY:126ms
TXNID:545256 | STATUS:PENDING | LATENCY:93ms
TXNID:810185 | STATUS:SUCCESS | LATENCY:12ms
